,type,username,useraddress,userid,timestamp,roomname,content
2,presence,BazaarAgent,128.2.220.133:39341,\N,2016-06-10 21:23:18,mturkno7226107,join
5,presence,pelican,68.204.68.130:58817,45,2016-06-10 21:23:18,mturkno7226107,join
7,presence,Yooper,71.120.228.30:57969,54,2016-06-10 21:23:18,mturkno7226107,join
14,presence,Helen,162.228.105.60:49597,35,2016-06-10 21:23:19,mturkno7226107,join
22,text,BazaarAgent,128.2.220.133:39341,\N,2016-06-10 21:23:28,mturkno7226107,"Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 2. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas."
31,text,Yooper,71.120.228.30:57969,54,2016-06-10 21:24:30,mturkno7226107,I believe Plan 2 would be the best plan to implement
33,text,Helen,162.228.105.60:49597,35,2016-06-10 21:24:42,mturkno7226107,I think Plan 2 is best as well
37,text,Yooper,71.120.228.30:57969,54,2016-06-10 21:25:01,mturkno7226107,pelican? what is your opinion?
39,text,Helen,162.228.105.60:49597,35,2016-06-10 21:25:11,mturkno7226107,While out of the budget it is renewable and will save money in the long rung with no greenhouse gases and waste costs
44,text,Helen,162.228.105.60:49597,35,2016-06-10 21:25:40,mturkno7226107,Pelican? 
53,text,Yooper,71.120.228.30:57969,54,2016-06-10 21:26:24,mturkno7226107,I agree. Only option to stay under budget would require too much dependance on coal which would be bad environmentally
55,text,pelican,68.204.68.130:58817,45,2016-06-10 21:26:27,mturkno7226107,I&#39;m here. I also think plan 2. 
60,text,pelican,68.204.68.130:58817,45,2016-06-10 21:26:50,mturkno7226107," It isn&#39;t exactly the plan I proposed, but with 60 percent renewable energy, it is a good plan."
62,text,Helen,162.228.105.60:49597,35,2016-06-10 21:26:59,mturkno7226107,Yeah and they want to be green plus the wind mills don&#39;t require much maintenance 
92,text,Helen,162.228.105.60:49597,35,2016-06-10 21:30:29,mturkno7226107,are we missing anything? 
94,text,pelican,68.204.68.130:58817,45,2016-06-10 21:30:38,mturkno7226107,"I was leaning more towards hydro power, but with Plan 2 there is a good balance. If there should be a drought, the other resources will cover for the loss of water resource."
96,presence,moosh,24.236.196.25:63527,40,2016-06-10 21:30:53,mturkno7226107,join
98,text,Helen,162.228.105.60:49597,35,2016-06-10 21:31:09,mturkno7226107,I was leaning towards water as well but considering the cost I believe wind is best in this case
99,text,Helen,162.228.105.60:49597,35,2016-06-10 21:31:21,mturkno7226107,welcome moosh
100,text,pelican,68.204.68.130:58817,45,2016-06-10 21:31:33,mturkno7226107,Have we done everything needed to finish this?
101,text,Helen,162.228.105.60:49597,35,2016-06-10 21:31:40,mturkno7226107,I believe so 
102,text,Helen,162.228.105.60:49597,35,2016-06-10 21:31:46,mturkno7226107,If you guys like it I&#39;m good
105,text,Yooper,71.120.228.30:57969,54,2016-06-10 21:32:08,mturkno7226107,I&#39;m good... just double checking to see if we can beef it up a bit
106,text,pelican,68.204.68.130:58817,45,2016-06-10 21:32:15,mturkno7226107,It says to write the proposal on the Etherpad. Do we need to write a formal proposal?
108,text,Helen,162.228.105.60:49597,35,2016-06-10 21:32:34,mturkno7226107,I think it just wants us to do what the questions ask 
112,text,Helen,162.228.105.60:49597,35,2016-06-10 21:32:53,mturkno7226107,cause at the top it says it&#39;s our proposal
