,type,username,useraddress,userid,timestamp,roomname,content
0,presence,BazaarAgent,128.2.220.133:57982,\N,2016-07-11 20:52:58,mturkno1607113,join
1,presence,robzombie91,75.185.163.196:55433,20,2016-07-11 20:52:59,mturkno1607113,join
2,presence,Lys,24.40.175.239:51129,19,2016-07-11 20:53:01,mturkno1607113,join
3,text,BazaarAgent,128.2.220.133:57982,\N,2016-07-11 20:53:09,mturkno1607113,"Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 2. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas."
4,presence,Mandy,75.85.174.86:58567,17,2016-07-11 20:53:10,mturkno1607113,join
5,presence,Nanners,67.186.29.207:58926,30,2016-07-11 20:53:13,mturkno1607113,join
6,text,Nanners,67.186.29.207:58926,30,2016-07-11 20:54:05,mturkno1607113,hi hi
7,text,Mandy,75.85.174.86:58567,17,2016-07-11 20:54:08,mturkno1607113,hello0
8,text,Lys,24.40.175.239:51129,19,2016-07-11 20:54:35,mturkno1607113,Hello folks.
9,text,robzombie91,75.185.163.196:55433,20,2016-07-11 20:55:03,mturkno1607113,yo everyone
10,presence,robzombie91,75.185.163.196:55433,20,2016-07-11 20:55:10,mturkno1607113,leave
11,presence,robzombie91,75.185.163.196:55465,20,2016-07-11 20:55:12,mturkno1607113,join
12,text,Lys,24.40.175.239:51129,19,2016-07-11 20:55:28,mturkno1607113,"I picked plan 2.  They say it&#39;s a tight $900,000,000, but I feel that they defeat themselves with plan 1."
13,text,Nanners,67.186.29.207:58926,30,2016-07-11 20:55:35,mturkno1607113,I agree
14,text,robzombie91,75.185.163.196:55465,20,2016-07-11 20:55:49,mturkno1607113,i also agree with plan 2
15,text,Lys,24.40.175.239:51129,19,2016-07-11 20:56:04,mturkno1607113,I also wonder if there would be a way to alter the proposal.
16,text,Mandy,75.85.174.86:58567,17,2016-07-11 20:56:14,mturkno1607113,makes sense to me-- they get the tax credit without the waste disposal cost too
17,text,Mandy,75.85.174.86:58567,17,2016-07-11 20:56:23,mturkno1607113,I don&#39;t see why not
18,text,robzombie91,75.185.163.196:55465,20,2016-07-11 20:56:48,mturkno1607113,its slighty more expensive than their budget but will pay off more in the end in my opinion
19,text,Lys,24.40.175.239:51129,19,2016-07-11 20:56:52,mturkno1607113,"Honestly, I think that a 20% Coal 50% Wind 10% Nuclear 20% Hydro could be better.  Nuclear energy is just so expensive."
20,text,Lys,24.40.175.239:51129,19,2016-07-11 20:56:58,mturkno1607113,I agree robzombie.
21,text,Lys,24.40.175.239:51129,19,2016-07-11 20:57:33,mturkno1607113,The amount of pollution caused by the coal and nuclear energy is significant.  Nuclear energy isn&#39;t even a viable long term source of energy.
22,text,Mandy,75.85.174.86:58567,17,2016-07-11 20:57:47,mturkno1607113,and it&#39;s super controversial
23,text,robzombie91,75.185.163.196:55465,20,2016-07-11 20:57:53,mturkno1607113,plus the instance if there where to be an accident
24,text,Mandy,75.85.174.86:58567,17,2016-07-11 20:57:56,mturkno1607113,"and can be unsafe, right?"
25,text,Mandy,75.85.174.86:58567,17,2016-07-11 20:58:04,mturkno1607113,"that&#39;s what I was thinking, Rob"
26,text,Lys,24.40.175.239:51129,19,2016-07-11 20:58:06,mturkno1607113,It takes 10-30 years to build something that would be torn down in 80.
27,text,robzombie91,75.185.163.196:55465,20,2016-07-11 20:58:10,mturkno1607113,and disposal costs would be really high
28,text,Mandy,75.85.174.86:58567,17,2016-07-11 20:58:23,mturkno1607113,and we&#39;re worried about water pollution
29,text,Lys,24.40.175.239:51129,19,2016-07-11 20:58:30,mturkno1607113,They are very unsafe.  I grew up about 15-30 miles from a plant and we were within the devastation zone if anything went wrong.
30,text,Nanners,67.186.29.207:58926,30,2016-07-11 20:58:56,mturkno1607113,But did anything go wrong?
