,type,username,useraddress,userid,timestamp,roomname,content
3,presence,BazaarAgent,128.2.220.133:38102,\N,2016-06-08 21:23:50,mturkno722681,join
6,presence,Ang,72.192.90.21:61941,8,2016-06-08 21:23:51,mturkno722681,join
10,text,BazaarAgent,128.2.220.133:38102,\N,2016-06-08 21:24:00,mturkno722681,"Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 2. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas."
13,presence,Aleesh,24.205.43.111:51836,13,2016-06-08 21:24:05,mturkno722681,join
14,presence,Hannah,173.74.182.189:62831,7,2016-06-08 21:24:08,mturkno722681,join
17,text,Hannah,173.74.182.189:62831,7,2016-06-08 21:25:07,mturkno722681,Hi everyone
20,text,Aleesh,24.205.43.111:51836,13,2016-06-08 21:25:27,mturkno722681,Hello
21,text,Hannah,173.74.182.189:62831,7,2016-06-08 21:25:31,mturkno722681,Which plans do you guys think is the best solution? I&#39;m personally going with Plan 4.
22,text,Ang,72.192.90.21:61941,8,2016-06-08 21:25:44,mturkno722681,I say plan 3 myself
27,text,Aleesh,24.205.43.111:51836,13,2016-06-08 21:26:29,mturkno722681,"Reading as we speak lol, will decide in a minute"
34,text,Ang,72.192.90.21:61941,8,2016-06-08 21:27:31,mturkno722681,"Hannah, what is your thinking behind Plan 4"
37,text,Aleesh,24.205.43.111:51836,13,2016-06-08 21:27:36,mturkno722681,I want to say plan 3...
40,text,Ang,72.192.90.21:61941,8,2016-06-08 21:27:59,mturkno722681,I was thinking Plan 3 because there is no toxic chemical waste
45,text,Hannah,173.74.182.189:62831,7,2016-06-08 21:28:18,mturkno722681,I went ahead with plan 4 mainly because of the higher % of nuclear waste
46,text,Hannah,173.74.182.189:62831,7,2016-06-08 21:28:27,mturkno722681,oops
49,text,Hannah,173.74.182.189:62831,7,2016-06-08 21:28:32,mturkno722681,i meant lower % lol
53,text,Ang,72.192.90.21:61941,8,2016-06-08 21:28:58,mturkno722681,dang it i was looking at 2
