,type,username,useraddress,userid,timestamp,roomname,content
0,presence,ems,73.194.89.81:53216,42,2016-06-08 21:23:50,mturkno722685,join
2,presence,BazaarAgent,128.2.220.133:38099,\N,2016-06-08 21:23:50,mturkno722685,join
4,presence,Jordy,108.36.226.31:60381,33,2016-06-08 21:23:50,mturkno722685,join
5,presence,LissaMS,76.18.77.148:62003,24,2016-06-08 21:23:50,mturkno722685,join
8,presence,Randomacts,71.93.52.66:11529,35,2016-06-08 21:23:53,mturkno722685,join
12,text,BazaarAgent,128.2.220.133:38099,\N,2016-06-08 21:24:00,mturkno722685,"Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 2. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas."
16,text,Randomacts,71.93.52.66:11529,35,2016-06-08 21:24:37,mturkno722685,I&#39;m thinking Plan 3 might be the best option here.
18,text,Jordy,108.36.226.31:60381,33,2016-06-08 21:25:19,mturkno722685,"Are we looking for just cost, or enviromental benefit as well."
19,text,LissaMS,76.18.77.148:62003,24,2016-06-08 21:25:24,mturkno722685,Most of the interest so far has been in wind&#x2F;hydro solutions.
23,text,Jordy,108.36.226.31:60381,33,2016-06-08 21:25:48,mturkno722685,oh i see nevermind
24,text,Randomacts,71.93.52.66:11529,35,2016-06-08 21:25:57,mturkno722685,Well as long as it isn&#39;t a heavy coal plan...
26,text,Jordy,108.36.226.31:60381,33,2016-06-08 21:26:29,mturkno722685,yea im leaning toward nuclear or hydro
29,text,LissaMS,76.18.77.148:62003,24,2016-06-08 21:26:49,mturkno722685,"I personally think coal makes more sense, but noticed that I was the ONLY person who thought that."
30,text,ems,73.194.89.81:53216,42,2016-06-08 21:26:53,mturkno722685,I like plan 2 
31,text,Jordy,108.36.226.31:60381,33,2016-06-08 21:27:05,mturkno722685,"coal is a good option, just horrible for the enviroment"
32,text,ems,73.194.89.81:53216,42,2016-06-08 21:27:08,mturkno722685,Coal kills the environment though
33,text,Randomacts,71.93.52.66:11529,35,2016-06-08 21:27:21,mturkno722685,yeah coal is cheap but kills
35,text,Jordy,108.36.226.31:60381,33,2016-06-08 21:27:33,mturkno722685,"I really do not know much about nuclear, although i did hear it was a very clean source"
