,type,username,useraddress,userid,timestamp,roomname,content
0,presence,BazaarAgent,128.2.220.133:57986,\N,2016-07-11 20:52:58,mturkno1607111,join
1,presence,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 20:52:59,mturkno1607111,join
2,presence,K,23.240.235.98:38632,4,2016-07-11 20:52:59,mturkno1607111,join
3,text,BazaarAgent,128.2.220.133:57986,\N,2016-07-11 20:53:10,mturkno1607111,"Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 2. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas."
4,text,K,23.240.235.98:38632,4,2016-07-11 20:54:55,mturkno1607111,It&#39;s over budget but I like plan 2
5,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 20:55:20,mturkno1607111,I like plan 2 also
6,text,K,23.240.235.98:38632,4,2016-07-11 20:55:40,mturkno1607111,Anyone feel differently?
7,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 20:55:58,mturkno1607111,I wish they had plans that didn&#39;t include nuclear.
8,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 20:56:36,mturkno1607111,Wind is so cheap to operate once its up and running.
9,text,K,23.240.235.98:38632,4,2016-07-11 20:56:57,mturkno1607111,What do you like about plan 2?
10,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 20:57:27,mturkno1607111,Using wind is great for the environment. 
11,presence,JMC19,96.58.13.16:56263,10,2016-07-11 20:57:34,mturkno1607111,join
12,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 20:58:14,mturkno1607111,"I wish people would realize how much having hydro helps, dams have saved California in the last few years with our drought."
13,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 20:59:13,mturkno1607111,"Nuclear just has such bad waste that has to be disposed of, where do you put it? "
14,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 21:00:36,mturkno1607111,Yeah not like once wind is up and running someone has to watch it in case of a melt down.
15,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 21:01:46,mturkno1607111,"I just hate to see a city ask miners to go into a mine to get coal, its so dangerous, plus it hurts the environment "
16,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 21:02:13,mturkno1607111,I like 4 but am afraid of the cost to the city to begin with.
17,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 21:03:09,mturkno1607111,"I sure don&#39;t know what California would have done without dams for both energy production, water storage and flood protection"
18,text,BazaarAgent,128.2.220.133:57986,\N,2016-07-11 21:03:32,mturkno1607111,"Thank you for participating in the discussion. You now have just 5 minutes to finalize a joint argument in favor of one plan and complete your proposal on the left. Keep in mind that you will be evaluated solely based on the quality of your proposal (i.e., the thoroughness of the reasoning displayed)."
19,text,K,23.240.235.98:38632,4,2016-07-11 21:03:39,mturkno1607111,Is there anything else we need to had to the proposal?
20,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 21:03:40,mturkno1607111,Hydro would also expand tourist attractions 
21,text,K,23.240.235.98:38632,4,2016-07-11 21:03:59,mturkno1607111,yes but our plan is a wind plan
22,text,K,23.240.235.98:38632,4,2016-07-11 21:04:01,mturkno1607111,not hydro
23,text,K,23.240.235.98:38632,4,2016-07-11 21:04:07,mturkno1607111,we can&#39;t afford the hydro plan
24,text,JMC19,96.58.13.16:56263,10,2016-07-11 21:04:08,mturkno1607111,I don&#39;t think it would increase tourist attractions significantly anyway.
25,text,JMC19,96.58.13.16:56263,10,2016-07-11 21:04:18,mturkno1607111,I&#39;d mention something about it being noisy
26,text,KarenKalifornia,71.197.84.104:50731,9,2016-07-11 21:04:20,mturkno1607111,Our lake sure does here
27,text,K,23.240.235.98:38632,4,2016-07-11 21:04:33,mturkno1607111,As a drawback JMC?
