,type,username,useraddress,userid,timestamp,roomname,content
0,presence,BazaarAgent,128.2.220.133:33707,\N,2016-06-01 21:23:38,mturkno987642,join
9,presence,TM,76.30.94.185:60509,15,2016-06-01 21:23:47,mturkno987642,join
10,presence,Vee,75.112.251.153:49915,13,2016-06-01 21:23:47,mturkno987642,join
11,presence,street1510,74.77.38.141:51442,10,2016-06-01 21:23:47,mturkno987642,join
15,presence,deweather,172.72.43.240:2504,20,2016-06-01 21:23:48,mturkno987642,join
28,text,BazaarAgent,128.2.220.133:33707,\N,2016-06-01 21:23:58,mturkno987642,"Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 2. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas."
55,text,street1510,74.77.38.141:51442,10,2016-06-01 21:25:46,mturkno987642,hello? does this one work?
63,text,TM,76.30.94.185:60509,15,2016-06-01 21:26:19,mturkno987642,Hey
71,text,deweather,172.72.43.240:2504,20,2016-06-01 21:26:33,mturkno987642,Hello! 
73,text,TM,76.30.94.185:60509,15,2016-06-01 21:26:34,mturkno987642,Any ideas? I say we go for Plan 2
74,text,deweather,172.72.43.240:2504,20,2016-06-01 21:26:37,mturkno987642,"Do we want to rule out coal as the main energy source (plan #1)? If so, I&#39;d say plan 2 or 3 is the best choice. "
76,text,street1510,74.77.38.141:51442,10,2016-06-01 21:26:44,mturkno987642,i say 3
78,text,Vee,75.112.251.153:49915,13,2016-06-01 21:26:48,mturkno987642,I was leaning toward 2 as well
82,text,deweather,172.72.43.240:2504,20,2016-06-01 21:27:09,mturkno987642,Why two? Why three?
87,text,street1510,74.77.38.141:51442,10,2016-06-01 21:27:26,mturkno987642,let&#39;s go through the city requirements and see what is best
98,text,deweather,172.72.43.240:2504,20,2016-06-01 21:28:12,mturkno987642,Requirement one is cost
104,text,street1510,74.77.38.141:51442,10,2016-06-01 21:28:30,mturkno987642,yeah but that one is shot anyways unless we go with coal
107,text,TM,76.30.94.185:60509,15,2016-06-01 21:28:33,mturkno987642,"Well, 2 3 and 4 all are over budget, but we&#39;ve decided to rule 1 anyways"
111,text,deweather,172.72.43.240:2504,20,2016-06-01 21:28:59,mturkno987642,"If plan 1 is out, then Plan 2 wins on cost"
113,text,TM,76.30.94.185:60509,15,2016-06-01 21:29:05,mturkno987642,So difference between 2 and 3 is 40% wind versus 40% nuclear
120,text,street1510,74.77.38.141:51442,10,2016-06-01 21:29:29,mturkno987642,"okay 3 fits 2,3,4,5,7,8"
128,text,street1510,74.77.38.141:51442,10,2016-06-01 21:30:11,mturkno987642,"2 fits 2,4,6,7,8"
130,text,TM,76.30.94.185:60509,15,2016-06-01 21:30:14,mturkno987642,Plan 3 doesn&#39;t fit with chemical waste though
138,text,street1510,74.77.38.141:51442,10,2016-06-01 21:30:45,mturkno987642,uranium doesn&#39;t count as chemical waste ;)
139,text,Vee,75.112.251.153:49915,13,2016-06-01 21:30:54,mturkno987642,"But it wants minimal waste, not absolutely no waste. "
142,text,deweather,172.72.43.240:2504,20,2016-06-01 21:31:07,mturkno987642,"it has a waste disposal fee though, whereas plan 2 doesn&#39;t"
143,text,TM,76.30.94.185:60509,15,2016-06-01 21:31:17,mturkno987642,"Yeah, I think that&#39;s what they are talking about"
148,text,deweather,172.72.43.240:2504,20,2016-06-01 21:31:35,mturkno987642,plan two is also cheaper than three
