2016-05-25,21:53:38,0,BazaarAgent,1464227619156,"Welcome, Kico
",INTRODUCTION
2016-05-25,21:53:41,0,BazaarAgent,1464227623200,"Welcome, MrsTurk
",INTRODUCTION
2016-05-25,21:53:43,0,BazaarAgent,1464227625205,"Welcome, Jen
",INTRODUCTION
2016-05-25,21:53:47,0,BazaarAgent,1464227629209,"Welcome, saturn_ring
",INTRODUCTION
2016-05-25,21:53:48,0,BazaarAgent,1464227631212,"Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 3. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas. I will support you in the process.",Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 3. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas. I will support you in the process.
2016-05-25,21:54:17,0,MrsTurk,1464227659035,I'm liking plan 2,PLAN+PLAN2+neg
2016-05-25,21:54:24,0,Kico,1464227665202,Either plan 2 or 4 for me,PLAN+PLAN2+neg
2016-05-25,21:54:25,0,BazaarAgent,1464227667234,"Hey MrsTurk, can you elaborate on the reason you chose plan 2 from your perspective of what would be most environmentally friendly and with lowest startup costs ?",plan_reasoning
2016-05-25,21:54:54,0,MrsTurk,1464227695180,plan 4 has a higher startup cost over plan 2,PLAN+PLAN4+PLAN2+neg
2016-05-25,21:55:34,0,MrsTurk,1464227735864,They both have a 0 waste disposal cost and 0 carbon tax,pos
2016-05-25,21:56:08,0,Kico,1464227769413,I see your point there I think plan 2 is fine,PLAN+GIVING_OPINION+PLAN2+neg
2016-05-25,21:56:43,0,MrsTurk,1464227803891,"Plan A has a $48,000,000	 carbon tax",PLAN1+neg
2016-05-25,21:57:49,0,saturn_ring,1464227869835,"I chose plan 2 because in a realistic setting this would be the chosen plan based on overall cost. Even thought it has a heavy tax, this does not override the overall cost other other energy sources. This might not be the best sustainable choice, but it makes the most sense in an economical framework.",PLAN+GIVING_OPINION+AUDIO_SOURCE+PLAN2+pos
2016-05-25,21:58:41,0,MrsTurk,1464227921750,I mean plan 1 has the carbon tax. Plan 2 has no carbon tax and a larger renewable tax credit which should cover the difference in being over budget,PLAN+PLAN2+PLAN1+pos
2016-05-25,21:59:17,0,MrsTurk,1464227957952,Who typed the team proposal?,QUESTION+neg
