2016-06-07,21:23:53,0,BazaarAgent,1465349033237,"Welcome, Twan
",INTRODUCTION
2016-06-07,21:23:53,0,BazaarAgent,1465349035402,"Welcome, euw111
",INTRODUCTION
2016-06-07,21:23:55,0,BazaarAgent,1465349037408,"Welcome, TMCC
",INTRODUCTION
2016-06-07,21:24:02,0,BazaarAgent,1465349043412,"Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 3. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas. I will support you in the process.",Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 3. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas. I will support you in the process.
2016-06-07,21:24:57,0,BazaarAgent,1465349097432,"Welcome, Webby
",INTRODUCTION
2016-06-07,21:25:35,0,Twan,1465349138482,"Although plan 2 costs more than plan 1, the tax credit will eventually pay for itself pretty much.",PLAN+PLAN2+PLAN1+pos
2016-06-07,21:27:25,0,Twan,1465349246094,good point whoever is typing.,POSITIVITY+neg
2016-06-07,21:28:31,0,TMCC,1465349313339,o system is very bird friendly but wind seems to give them the best chance to survive and thrive,POSITIVITY+GIVING_OPINION+pos
2016-06-07,21:28:39,0,Webby,1465349320051," I agree, Twan Wind power as the primary energy source would be most feasible over the long-term outlook.",POSITIVITY+GIVING_ORIENTATION+AGREE+AUDIO_SOURCE+pos
2016-06-07,21:31:30,0,euw111,1465349490291,Hey,neg
2016-06-07,21:31:37,0,Twan,1465349497879,Hey,neg
2016-06-07,21:34:28,0,BazaarAgent,1465349669603,"Thank you for participating in the discussion. You now have just 5 minutes to finalize a joint argument in favor of one plan and complete your proposal on the left. Keep in mind that you will be evaluated solely based on the quality of your proposal (i.e., the thoroughness of the reasoning displayed).",Thank you for participating in the discussion. You now have just 5 minutes to finalize a joint argument in favor of one plan and complete your proposal on the left. Keep in mind that you will be evaluated solely based on the quality of your proposal (i.e., the thoroughness of the reasoning displayed).
2016-06-07,21:37:10,0,TMCC,1465349831050,2 mins! I think we did good.,POSITIVITY+GIVING_OPINION+neg
2016-06-07,21:37:52,0,Twan,1465349872713,"Yea, some good reasons typed.",POSITIVITY+neg
